lacI_lacZ,lacY_lacA,lacY_lacZ,lacZ_lacY,length,max_distance,mean_distance,y
0.0,0.0,0.0,0.0,2884.0,17.0,11.666666666666666,0.0
0.0,0.0,0.0,0.0,3833.0,54.0,22.0,0.0
0.0,0.0,0.0,0.0,6400.0,20.0,12.333333333333334,0.0
0.0,0.0,0.0,0.0,4016.0,19.0,19.0,0.0
0.0,0.0,0.0,0.0,1315.0,15.0,12.5,0.0
0.0,0.0,0.0,0.0,978.0,35.0,35.0,0.0
0.0,0.0,0.0,0.0,969.0,26.0,26.0,0.0
0.0,0.0,0.0,0.0,8081.0,35.0,12.666666666666666,0.0
0.0,0.0,0.0,0.0,3511.0,24.0,24.0,0.0
0.0,0.0,0.0,0.0,3409.0,82.0,42.5,0.0
0.0,0.0,0.0,0.0,2431.0,82.0,34.666666666666664,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,3511.0,78.0,78.0,0.0
0.0,0.0,0.0,0.0,5856.0,35.0,14.75,0.0
0.0,0.0,0.0,0.0,5541.0,83.0,41.333333333333336,0.0
0.0,0.0,0.0,0.0,4988.0,4.0,4.0,0.0
0.0,0.0,0.0,0.0,4988.0,4.0,4.0,0.0
0.0,0.0,0.0,0.0,2985.0,41.0,19.333333333333332,0.0
0.0,0.0,0.0,0.0,6729.0,37.0,19.25,0.0
0.0,0.0,0.0,0.0,6704.0,14.0,3.0,0.0
0.0,0.0,0.0,0.0,3933.0,11.0,11.0,0.0
0.0,0.0,0.0,0.0,6404.0,20.0,13.0,0.0
0.0,0.0,0.0,0.0,7239.0,0.0,-27.666666666666668,0.0
0.0,0.0,0.0,0.0,955.0,12.0,12.0,0.0
0.0,0.0,0.0,0.0,6456.0,73.0,30.166666666666668,0.0
0.0,0.0,0.0,0.0,7239.0,20.0,3.3333333333333335,0.0
0.0,0.0,0.0,0.0,1315.0,15.0,12.5,0.0
0.0,0.0,0.0,0.0,6474.0,88.0,33.166666666666664,0.0
0.0,0.0,0.0,0.0,3833.0,54.0,22.0,0.0
0.0,0.0,0.0,0.0,6370.0,22.0,13.333333333333334,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,7239.0,0.0,-28.666666666666668,0.0
0.0,0.0,0.0,0.0,856.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,7238.0,33.0,-13.25,0.0
0.0,0.0,0.0,0.0,955.0,12.0,12.0,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,7239.0,0.0,-28.666666666666668,0.0
0.0,0.0,0.0,0.0,856.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,7239.0,0.0,-28.666666666666668,0.0
0.0,0.0,0.0,0.0,1315.0,12.0,11.0,0.0
0.0,0.0,0.0,0.0,6474.0,88.0,33.166666666666664,0.0
0.0,0.0,0.0,0.0,3194.0,6.0,1.0,0.0
0.0,0.0,0.0,0.0,4913.0,4.0,4.0,0.0
0.0,0.0,0.0,0.0,3448.0,78.0,78.0,0.0
0.0,0.0,0.0,0.0,3448.0,78.0,78.0,0.0
0.0,0.0,0.0,0.0,4321.0,102.0,0.0,0.0
0.0,0.0,0.0,0.0,5718.0,53.0,-8.4,0.0
0.0,0.0,0.0,0.0,4887.0,83.0,27.0,0.0
0.0,0.0,0.0,0.0,2812.0,45.0,29.666666666666668,0.0
0.0,0.0,0.0,0.0,4027.0,12.0,12.0,0.0
0.0,0.0,0.0,0.0,2496.0,19.0,14.333333333333334,0.0
0.0,0.0,0.0,0.0,4110.0,0.0,-7.0,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,2565.0,84.0,63.0,0.0
0.0,0.0,0.0,0.0,4938.0,71.0,71.0,0.0
0.0,0.0,0.0,0.0,8135.0,3.0,-5.0,0.0
0.0,0.0,0.0,0.0,1693.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,2504.0,29.0,19.0,0.0
0.0,0.0,0.0,0.0,4431.0,15.0,10.25,0.0
0.0,0.0,0.0,0.0,5980.0,62.0,32.6,0.0
0.0,0.0,0.0,0.0,3847.0,79.0,24.8,0.0
0.0,0.0,0.0,0.0,6302.0,58.0,37.0,0.0
0.0,0.0,0.0,0.0,2688.0,40.0,28.333333333333332,0.0
0.0,0.0,0.0,0.0,955.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,4980.0,48.0,22.2,0.0
0.0,0.0,0.0,0.0,3511.0,78.0,78.0,0.0
1.0,0.0,0.0,0.0,5361.0,104.0,81.33333333333333,0.0
0.0,0.0,0.0,0.0,5100.0,103.0,56.333333333333336,0.0
0.0,0.0,0.0,0.0,5129.0,43.0,26.8,0.0
0.0,0.0,0.0,0.0,1699.0,18.0,18.0,0.0
0.0,0.0,0.0,0.0,6961.0,7.0,0.875,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,1151.0,43.0,43.0,0.0
0.0,0.0,0.0,0.0,14210.0,15.0,0.7857142857142857,0.0
0.0,0.0,0.0,0.0,1531.0,6.0,6.0,0.0
0.0,0.0,0.0,0.0,4661.0,32.0,17.8,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,1094.0,16.0,16.0,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,2694.0,17.0,17.0,0.0
0.0,0.0,0.0,0.0,3430.0,42.0,42.0,0.0
0.0,0.0,0.0,0.0,4066.0,31.0,24.5,0.0
0.0,0.0,0.0,0.0,4335.0,11.0,11.0,0.0
0.0,0.0,0.0,0.0,2550.0,5.0,5.0,0.0
0.0,0.0,0.0,0.0,3692.0,78.0,47.5,0.0
0.0,0.0,0.0,0.0,2716.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,4466.0,70.0,70.0,0.0
0.0,0.0,0.0,0.0,3443.0,58.0,58.0,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,2883.0,17.0,11.333333333333334,0.0
0.0,0.0,0.0,0.0,2870.0,17.0,10.0,0.0
0.0,0.0,0.0,0.0,4896.0,48.0,24.0,0.0
0.0,0.0,0.0,0.0,2698.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,5392.0,24.0,12.666666666666666,0.0
0.0,0.0,0.0,0.0,1122.0,44.0,44.0,0.0
0.0,0.0,0.0,0.0,1975.0,51.0,51.0,0.0
0.0,0.0,0.0,0.0,9139.0,16.0,-1.3333333333333333,0.0
0.0,0.0,0.0,0.0,15708.0,83.0,14.833333333333334,0.0
0.0,0.0,0.0,0.0,10013.0,45.0,15.25,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,12.166666666666666,0.0
0.0,0.0,0.0,0.0,3692.0,78.0,47.5,0.0
0.0,0.0,0.0,0.0,3609.0,20.0,3.3333333333333335,0.0
0.0,0.0,0.0,0.0,2954.0,70.0,37.0,0.0
0.0,0.0,0.0,0.0,1624.0,45.0,36.5,0.0
0.0,0.0,0.0,0.0,6302.0,58.0,37.0,0.0
0.0,0.0,0.0,0.0,3861.0,50.0,18.0,0.0
0.0,0.0,0.0,0.0,3782.0,32.0,13.75,0.0
0.0,0.0,0.0,0.0,3861.0,50.0,18.0,0.0
0.0,0.0,0.0,0.0,1263.0,59.0,59.0,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,3396.0,76.0,40.5,0.0
0.0,0.0,0.0,0.0,3396.0,76.0,40.5,0.0
0.0,0.0,0.0,0.0,3016.0,26.0,14.0,0.0
0.0,0.0,0.0,0.0,3692.0,78.0,47.5,0.0
0.0,0.0,0.0,0.0,2687.0,24.0,13.0,0.0
0.0,1.0,0.0,0.0,1930.0,66.0,66.0,0.0
0.0,0.0,0.0,0.0,4896.0,63.0,31.5,0.0
0.0,0.0,0.0,0.0,2960.0,4.0,-3.0,0.0
0.0,0.0,0.0,0.0,5535.0,48.0,13.2,0.0
0.0,0.0,0.0,0.0,1505.0,37.0,37.0,0.0
0.0,0.0,0.0,0.0,4420.0,18.0,4.4,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,3659.0,78.0,47.5,0.0
0.0,0.0,0.0,0.0,2754.0,50.0,50.0,0.0
0.0,0.0,0.0,0.0,3857.0,15.0,1.0,0.0
0.0,0.0,0.0,0.0,6336.0,74.0,38.75,0.0
0.0,0.0,0.0,0.0,1684.0,3.0,3.0,0.0
0.0,0.0,0.0,0.0,2904.0,11.0,11.0,0.0
0.0,0.0,0.0,0.0,3175.0,26.0,17.0,0.0
0.0,0.0,0.0,0.0,3750.0,22.0,16.5,0.0
0.0,0.0,0.0,0.0,2204.0,34.0,34.0,0.0
0.0,0.0,0.0,0.0,2812.0,45.0,16.666666666666668,0.0
0.0,0.0,0.0,0.0,3248.0,57.0,29.5,0.0
0.0,0.0,0.0,0.0,3843.0,21.0,6.333333333333333,0.0
0.0,0.0,0.0,0.0,3877.0,19.0,10.666666666666666,0.0
0.0,0.0,0.0,0.0,3859.0,19.0,4.666666666666667,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,3052.0,36.0,15.75,0.0
0.0,0.0,0.0,0.0,7260.0,20.0,11.333333333333334,0.0
0.0,0.0,0.0,0.0,2694.0,17.0,17.0,0.0
0.0,0.0,0.0,0.0,3282.0,53.0,53.0,0.0
0.0,0.0,0.0,0.0,3430.0,42.0,42.0,0.0
0.0,0.0,0.0,0.0,2964.0,5.0,-2.6666666666666665,0.0
0.0,0.0,0.0,0.0,1383.0,15.0,-56.666666666666664,0.0
0.0,0.0,0.0,0.0,6472.0,61.0,28.333333333333332,0.0
0.0,0.0,0.0,0.0,1902.0,0.0,-10.0,0.0
0.0,0.0,0.0,0.0,1329.0,14.0,14.0,0.0
0.0,0.0,0.0,0.0,1795.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,2131.0,71.0,30.5,0.0
0.0,0.0,0.0,0.0,1576.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,1905.0,0.0,-10.0,0.0
0.0,0.0,0.0,0.0,1905.0,0.0,-10.0,0.0
0.0,0.0,0.0,0.0,3432.0,51.0,21.5,0.0
0.0,0.0,0.0,0.0,1579.0,15.0,14.0,0.0
